ID,age,gender,pastvote_EURef,Vote2015R,social_grade,govregion,W8,starttime,endtime,disposition,Q1,Q2
787,31,2,2,3,2,3,1.33169035106851,7/19/2016,7/19/2016,1,3,5
801,47,1,1,2,1,3,.982366587844188,7/19/2016,7/19/2016,1,3,2
812,52,2,1,3,2,3,.747856022178101,7/19/2016,7/19/2016,1,1,1
850,52,2,1,2,1,3,.962716382370336,7/19/2016,7/19/2016,1,1,1
884,65,1,2,1,1,3,.986061881003829,7/19/2016,7/19/2016,1,1,1
891,68,1,2,6,1,3,.755402860747078,7/19/2016,7/19/2016,1,5,1
896,22,2,1,2,2,3,.750142377109621,7/19/2016,7/19/2016,1,3,1
916,51,2,2,4,2,3,1.19472649484385,7/19/2016,7/19/2016,1,3,2
926,40,1,1,6,2,3,.74047064341745,7/19/2016,7/19/2016,1,3,2
938,31,2,1,1,1,3,.765900359281667,7/19/2016,7/19/2016,1,1,1
942,41,2,1,5,2,3,.969010059417036,7/19/2016,7/19/2016,1,3,1
967,50,1,1,2,2,3,.706667209896845,7/19/2016,7/19/2016,1,2,4
1025,26,1,2,7,1,3,.740237263105407,7/19/2016,7/19/2016,1,4,1
1053,23,1,1,7,1,3,.867463479420609,7/20/2016,7/20/2016,1,1,1
1101,20,2,1,5,2,3,.901066219471777,7/19/2016,7/19/2016,1,3,1
1105,19,1,3,7,2,3,2.6558432891258,7/19/2016,7/19/2016,1,2,4
1127,69,2,1,7,2,3,.596165319873898,7/19/2016,7/19/2016,1,2,1
1128,67,2,2,6,1,3,.855926247709456,7/19/2016,7/19/2016,1,4,1
1136,50,1,1,2,1,3,1.22139758188878,7/19/2016,7/19/2016,1,1,1
1154,24,2,1,2,1,3,.830208651002882,7/19/2016,7/19/2016,1,1,1
1177,23,1,1,5,1,3,.789749643513277,7/19/2016,7/19/2016,1,1,1
1178,61,2,1,2,2,3,.817656347193697,7/19/2016,7/19/2016,1,3,1
1209,22,1,2,6,1,3,1.08548364022468,7/19/2016,7/19/2016,1,4,3
1217,64,2,2,1,1,3,1.06699320111563,7/19/2016,7/19/2016,1,4,1
1222,27,1,1,5,1,3,.751409852498766,7/19/2016,7/19/2016,1,2,1
1253,43,1,2,7,2,3,1.00868596654921,7/19/2016,7/19/2016,1,1,1
1262,42,2,1,6,1,3,.616299447455569,7/19/2016,7/19/2016,1,2,1
1313,51,2,4,4,1,3,1.32889317854406,7/19/2016,7/19/2016,1,3,3
1348,43,2,2,2,2,3,.846374238541747,7/19/2016,7/19/2016,1,5,1
1362,30,2,1,1,1,3,.748188448233315,7/19/2016,7/19/2016,1,2,1
1378,61,1,2,1,1,3,1.12539901729785,7/19/2016,7/19/2016,1,4,1
1406,56,1,1,7,2,3,.709782343031791,7/19/2016,7/19/2016,1,4,1
1456,20,2,1,1,1,3,.901580576125531,7/19/2016,7/19/2016,1,3,1
